subject_locus_tag	relationship	object_namespace	object_id	seqid	start	end	strand	mapping_ambiguity	source	evidence	mapping_method
M744_RS04045	old_locus_tag	legacy_locus_tag	M744_04185	NZ_CP006471.1	779227	780039	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04045	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2412	NZ_CP006471.1	779227	780039	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378453.1	exact shared RefSeq protein_id
M744_RS04045	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12260	NZ_CP006471.1	779227	780039	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378453.1	exact shared RefSeq protein_id
M744_RS04045	protein_id	RefSeq_protein	WP_011378453.1	NZ_CP006471.1	779227	780039	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04045	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	779227	780039	+		UTEX RefSeq GFF3		direct seqid
M744_RS04050	cds_segment	RefSeq_location	NZ_CP006471.1:780057-780428:-	NZ_CP006471.1	780057	780428	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04050	current_locus_tag	RefSeq_locus_tag	M744_RS04050	NZ_CP006471.1	780057	780428	-		UTEX RefSeq GFF3		direct annotation
M744_RS04050	genomic_location	RefSeq_location	NZ_CP006471.1:780057-780428:-	NZ_CP006471.1	780057	780428	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04050	old_locus_tag	legacy_locus_tag	M744_04190	NZ_CP006471.1	780057	780428	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04050	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2411	NZ_CP006471.1	780057	780428	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244004.1	exact shared RefSeq protein_id
M744_RS04050	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12255	NZ_CP006471.1	780057	780428	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244004.1	exact shared RefSeq protein_id
M744_RS04050	protein_id	RefSeq_protein	WP_011244004.1	NZ_CP006471.1	780057	780428	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04050	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	780057	780428	-		UTEX RefSeq GFF3		direct seqid
M744_RS04055	cds_segment	RefSeq_location	NZ_CP006471.1:780453-781487:-	NZ_CP006471.1	780453	781487	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04055	current_locus_tag	RefSeq_locus_tag	M744_RS04055	NZ_CP006471.1	780453	781487	-		UTEX RefSeq GFF3		direct annotation
M744_RS04055	genomic_location	RefSeq_location	NZ_CP006471.1:780453-781487:-	NZ_CP006471.1	780453	781487	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04055	old_locus_tag	legacy_locus_tag	M744_04195	NZ_CP006471.1	780453	781487	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04055	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2410	NZ_CP006471.1	780453	781487	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244005.1	exact shared RefSeq protein_id
M744_RS04055	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12250	NZ_CP006471.1	780453	781487	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244005.1	exact shared RefSeq protein_id
M744_RS04055	protein_id	RefSeq_protein	WP_011244005.1	NZ_CP006471.1	780453	781487	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04055	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	780453	781487	-		UTEX RefSeq GFF3		direct seqid
M744_RS04060	cds_segment	RefSeq_location	NZ_CP006471.1:781673-783007:+	NZ_CP006471.1	781673	783007	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04060	current_locus_tag	RefSeq_locus_tag	M744_RS04060	NZ_CP006471.1	781673	783007	+		UTEX RefSeq GFF3		direct annotation
M744_RS04060	genomic_location	RefSeq_location	NZ_CP006471.1:781673-783007:+	NZ_CP006471.1	781673	783007	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04060	old_locus_tag	legacy_locus_tag	M744_04200	NZ_CP006471.1	781673	783007	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04060	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2409	NZ_CP006471.1	781673	783007	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378451.1	exact shared RefSeq protein_id
M744_RS04060	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12245	NZ_CP006471.1	781673	783007	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378451.1	exact shared RefSeq protein_id
M744_RS04060	protein_id	RefSeq_protein	WP_011378451.1	NZ_CP006471.1	781673	783007	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04060	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	781673	783007	+		UTEX RefSeq GFF3		direct seqid
M744_RS04065	cds_segment	RefSeq_location	NZ_CP006471.1:783083-783469:+	NZ_CP006471.1	783083	783469	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04065	current_locus_tag	RefSeq_locus_tag	M744_RS04065	NZ_CP006471.1	783083	783469	+		UTEX RefSeq GFF3		direct annotation
M744_RS04065	genomic_location	RefSeq_location	NZ_CP006471.1:783083-783469:+	NZ_CP006471.1	783083	783469	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04065	old_locus_tag	legacy_locus_tag	M744_04205	NZ_CP006471.1	783083	783469	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04065	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2408	NZ_CP006471.1	783083	783469	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378450.1	exact shared RefSeq protein_id
M744_RS04065	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12240	NZ_CP006471.1	783083	783469	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378450.1	exact shared RefSeq protein_id
M744_RS04065	protein_id	RefSeq_protein	WP_011378450.1	NZ_CP006471.1	783083	783469	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04065	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	783083	783469	+		UTEX RefSeq GFF3		direct seqid
M744_RS04070	cds_segment	RefSeq_location	NZ_CP006471.1:783540-784352:-	NZ_CP006471.1	783540	784352	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04070	current_locus_tag	RefSeq_locus_tag	M744_RS04070	NZ_CP006471.1	783540	784352	-		UTEX RefSeq GFF3		direct annotation
M744_RS04070	genomic_location	RefSeq_location	NZ_CP006471.1:783540-784352:-	NZ_CP006471.1	783540	784352	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04070	old_locus_tag	legacy_locus_tag	M744_04210	NZ_CP006471.1	783540	784352	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04070	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2407	NZ_CP006471.1	783540	784352	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244008.1	exact shared RefSeq protein_id
M744_RS04070	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12235	NZ_CP006471.1	783540	784352	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244008.1	exact shared RefSeq protein_id
M744_RS04070	protein_id	RefSeq_protein	WP_011244008.1	NZ_CP006471.1	783540	784352	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04070	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	783540	784352	-		UTEX RefSeq GFF3		direct seqid
M744_RS04075	cds_segment	RefSeq_location	NZ_CP006471.1:784288-785427:-	NZ_CP006471.1	784288	785427	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04075	current_locus_tag	RefSeq_locus_tag	M744_RS04075	NZ_CP006471.1	784288	785427	-		UTEX RefSeq GFF3		direct annotation
M744_RS04075	gene_symbol	gene_symbol	thiO	NZ_CP006471.1	784288	785427	-		UTEX RefSeq GFF3		direct gene qualifier
M744_RS04075	genomic_location	RefSeq_location	NZ_CP006471.1:784288-785427:-	NZ_CP006471.1	784288	785427	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04075	old_locus_tag	legacy_locus_tag	M744_04215	NZ_CP006471.1	784288	785427	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04075	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2406	NZ_CP006471.1	784288	785427	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244009.1	exact shared RefSeq protein_id
M744_RS04075	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12230	NZ_CP006471.1	784288	785427	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244009.1	exact shared RefSeq protein_id
M744_RS04075	protein_id	RefSeq_protein	WP_011244009.1	NZ_CP006471.1	784288	785427	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04075	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	784288	785427	-		UTEX RefSeq GFF3		direct seqid
M744_RS04080	cds_segment	RefSeq_location	NZ_CP006471.1:785485-785739:+	NZ_CP006471.1	785485	785739	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04080	current_locus_tag	RefSeq_locus_tag	M744_RS04080	NZ_CP006471.1	785485	785739	+		UTEX RefSeq GFF3		direct annotation
M744_RS04080	genomic_location	RefSeq_location	NZ_CP006471.1:785485-785739:+	NZ_CP006471.1	785485	785739	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04080	old_locus_tag	legacy_locus_tag	M744_04220	NZ_CP006471.1	785485	785739	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04080	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2405	NZ_CP006471.1	785485	785739	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378448.1	exact shared RefSeq protein_id
M744_RS04080	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12225	NZ_CP006471.1	785485	785739	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378448.1	exact shared RefSeq protein_id
M744_RS04080	protein_id	RefSeq_protein	WP_011378448.1	NZ_CP006471.1	785485	785739	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04080	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	785485	785739	+		UTEX RefSeq GFF3		direct seqid
M744_RS04085	current_locus_tag	RefSeq_locus_tag	M744_RS04085	NZ_CP006471.1	785893	785965	-		UTEX RefSeq GFF3		direct annotation
M744_RS04085	genomic_location	RefSeq_location	NZ_CP006471.1:785893-785965:-	NZ_CP006471.1	785893	785965	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04085	old_locus_tag	legacy_locus_tag	M744_04225	NZ_CP006471.1	785893	785965	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04085	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	785893	785965	-		UTEX RefSeq GFF3		direct seqid
M744_RS04095	cds_segment	RefSeq_location	NZ_CP006471.1:786730-787014:-	NZ_CP006471.1	786730	787014	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04095	current_locus_tag	RefSeq_locus_tag	M744_RS04095	NZ_CP006471.1	786730	787014	-		UTEX RefSeq GFF3		direct annotation
M744_RS04095	genomic_location	RefSeq_location	NZ_CP006471.1:786730-787014:-	NZ_CP006471.1	786730	787014	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04095	old_locus_tag	legacy_locus_tag	M744_04240	NZ_CP006471.1	786730	787014	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04095	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2403	NZ_CP006471.1	786730	787014	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244012.1	exact shared RefSeq protein_id
M744_RS04095	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12210	NZ_CP006471.1	786730	787014	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244012.1	exact shared RefSeq protein_id
M744_RS04095	protein_id	RefSeq_protein	WP_011244012.1	NZ_CP006471.1	786730	787014	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04095	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	786730	787014	-		UTEX RefSeq GFF3		direct seqid
M744_RS04100	cds_segment	RefSeq_location	NZ_CP006471.1:787323-788369:-	NZ_CP006471.1	787323	788369	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04100	current_locus_tag	RefSeq_locus_tag	M744_RS04100	NZ_CP006471.1	787323	788369	-		UTEX RefSeq GFF3		direct annotation
M744_RS04100	genomic_location	RefSeq_location	NZ_CP006471.1:787323-788369:-	NZ_CP006471.1	787323	788369	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04100	old_locus_tag	legacy_locus_tag	M744_04250	NZ_CP006471.1	787323	788369	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04100	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2402	NZ_CP006471.1	787323	788369	-		PCC 7942 and UTEX RefSeq GFF3	WP_231621378.1	exact shared RefSeq protein_id
M744_RS04100	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12205	NZ_CP006471.1	787323	788369	-		PCC 7942 and UTEX RefSeq GFF3	WP_231621378.1	exact shared RefSeq protein_id
M744_RS04100	protein_id	RefSeq_protein	WP_231621378.1	NZ_CP006471.1	787323	788369	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04100	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	787323	788369	-		UTEX RefSeq GFF3		direct seqid
M744_RS04105	cds_segment	RefSeq_location	NZ_CP006471.1:788538-789029:+	NZ_CP006471.1	788538	789029	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04105	current_locus_tag	RefSeq_locus_tag	M744_RS04105	NZ_CP006471.1	788538	789029	+		UTEX RefSeq GFF3		direct annotation
M744_RS04105	genomic_location	RefSeq_location	NZ_CP006471.1:788538-789029:+	NZ_CP006471.1	788538	789029	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04105	old_locus_tag	legacy_locus_tag	M744_04255	NZ_CP006471.1	788538	789029	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04105	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2401	NZ_CP006471.1	788538	789029	+		PCC 7942 and UTEX RefSeq GFF3	WP_011244014.1	exact shared RefSeq protein_id
M744_RS04105	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12200	NZ_CP006471.1	788538	789029	+		PCC 7942 and UTEX RefSeq GFF3	WP_011244014.1	exact shared RefSeq protein_id
M744_RS04105	protein_id	RefSeq_protein	WP_011244014.1	NZ_CP006471.1	788538	789029	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04105	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	788538	789029	+		UTEX RefSeq GFF3		direct seqid
M744_RS04110	cds_segment	RefSeq_location	NZ_CP006471.1:789162-790319:+	NZ_CP006471.1	789162	790319	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04110	current_locus_tag	RefSeq_locus_tag	M744_RS04110	NZ_CP006471.1	789162	790319	+		UTEX RefSeq GFF3		direct annotation
M744_RS04110	genomic_location	RefSeq_location	NZ_CP006471.1:789162-790319:+	NZ_CP006471.1	789162	790319	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04110	old_locus_tag	legacy_locus_tag	M744_04260	NZ_CP006471.1	789162	790319	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04110	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2400	NZ_CP006471.1	789162	790319	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378446.1	exact shared RefSeq protein_id
M744_RS04110	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12195	NZ_CP006471.1	789162	790319	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378446.1	exact shared RefSeq protein_id
M744_RS04110	protein_id	RefSeq_protein	WP_011378446.1	NZ_CP006471.1	789162	790319	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04110	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	789162	790319	+		UTEX RefSeq GFF3		direct seqid
M744_RS04115	cds_segment	RefSeq_location	NZ_CP006471.1:790377-791555:+	NZ_CP006471.1	790377	791555	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04115	current_locus_tag	RefSeq_locus_tag	M744_RS04115	NZ_CP006471.1	790377	791555	+		UTEX RefSeq GFF3		direct annotation
M744_RS04115	genomic_location	RefSeq_location	NZ_CP006471.1:790377-791555:+	NZ_CP006471.1	790377	791555	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04115	old_locus_tag	legacy_locus_tag	M744_04265	NZ_CP006471.1	790377	791555	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04115	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2399	NZ_CP006471.1	790377	791555	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378445.1	exact shared RefSeq protein_id
M744_RS04115	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12190	NZ_CP006471.1	790377	791555	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378445.1	exact shared RefSeq protein_id
M744_RS04115	protein_id	RefSeq_protein	WP_011378445.1	NZ_CP006471.1	790377	791555	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04115	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	790377	791555	+		UTEX RefSeq GFF3		direct seqid
M744_RS04120	cds_segment	RefSeq_location	NZ_CP006471.1:791562-792011:+	NZ_CP006471.1	791562	792011	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04120	current_locus_tag	RefSeq_locus_tag	M744_RS04120	NZ_CP006471.1	791562	792011	+		UTEX RefSeq GFF3		direct annotation
M744_RS04120	gene_symbol	gene_symbol	ruvX	NZ_CP006471.1	791562	792011	+		UTEX RefSeq GFF3		direct gene qualifier
M744_RS04120	genomic_location	RefSeq_location	NZ_CP006471.1:791562-792011:+	NZ_CP006471.1	791562	792011	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04120	old_locus_tag	legacy_locus_tag	M744_04270	NZ_CP006471.1	791562	792011	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04120	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2398	NZ_CP006471.1	791562	792011	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378444.1	exact shared RefSeq protein_id
M744_RS04120	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12185	NZ_CP006471.1	791562	792011	+		PCC 7942 and UTEX RefSeq GFF3	WP_011378444.1	exact shared RefSeq protein_id
M744_RS04120	protein_id	RefSeq_protein	WP_011378444.1	NZ_CP006471.1	791562	792011	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04120	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	791562	792011	+		UTEX RefSeq GFF3		direct seqid
M744_RS04125	cds_segment	RefSeq_location	NZ_CP006471.1:792017-792544:+	NZ_CP006471.1	792017	792544	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04125	current_locus_tag	RefSeq_locus_tag	M744_RS04125	NZ_CP006471.1	792017	792544	+		UTEX RefSeq GFF3		direct annotation
M744_RS04125	genomic_location	RefSeq_location	NZ_CP006471.1:792017-792544:+	NZ_CP006471.1	792017	792544	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04125	old_locus_tag	legacy_locus_tag	M744_04275	NZ_CP006471.1	792017	792544	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04125	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2397	NZ_CP006471.1	792017	792544	+		PCC 7942 and UTEX RefSeq GFF3	WP_011244018.1	exact shared RefSeq protein_id
M744_RS04125	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12180	NZ_CP006471.1	792017	792544	+		PCC 7942 and UTEX RefSeq GFF3	WP_011244018.1	exact shared RefSeq protein_id
M744_RS04125	protein_id	RefSeq_protein	WP_011244018.1	NZ_CP006471.1	792017	792544	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04125	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	792017	792544	+		UTEX RefSeq GFF3		direct seqid
M744_RS04130	cds_segment	RefSeq_location	NZ_CP006471.1:792548-793099:+	NZ_CP006471.1	792548	793099	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04130	current_locus_tag	RefSeq_locus_tag	M744_RS04130	NZ_CP006471.1	792548	793099	+		UTEX RefSeq GFF3		direct annotation
M744_RS04130	genomic_location	RefSeq_location	NZ_CP006471.1:792548-793099:+	NZ_CP006471.1	792548	793099	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04130	old_locus_tag	legacy_locus_tag	M744_04280	NZ_CP006471.1	792548	793099	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04130	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2396	NZ_CP006471.1	792548	793099	+		PCC 7942 and UTEX RefSeq GFF3	WP_011244019.1	exact shared RefSeq protein_id
M744_RS04130	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12175	NZ_CP006471.1	792548	793099	+		PCC 7942 and UTEX RefSeq GFF3	WP_011244019.1	exact shared RefSeq protein_id
M744_RS04130	protein_id	RefSeq_protein	WP_011244019.1	NZ_CP006471.1	792548	793099	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04130	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	792548	793099	+		UTEX RefSeq GFF3		direct seqid
M744_RS04135	cds_segment	RefSeq_location	NZ_CP006471.1:793338-793589:+	NZ_CP006471.1	793338	793589	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04135	current_locus_tag	RefSeq_locus_tag	M744_RS04135	NZ_CP006471.1	793338	793589	+		UTEX RefSeq GFF3		direct annotation
M744_RS04135	genomic_location	RefSeq_location	NZ_CP006471.1:793338-793589:+	NZ_CP006471.1	793338	793589	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04135	old_locus_tag	legacy_locus_tag	M744_04285	NZ_CP006471.1	793338	793589	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04135	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2395	NZ_CP006471.1	793338	793589	+		PCC 7942 and UTEX RefSeq GFF3	WP_011244020.1	exact shared RefSeq protein_id
M744_RS04135	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12170	NZ_CP006471.1	793338	793589	+		PCC 7942 and UTEX RefSeq GFF3	WP_011244020.1	exact shared RefSeq protein_id
M744_RS04135	protein_id	RefSeq_protein	WP_011244020.1	NZ_CP006471.1	793338	793589	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04135	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	793338	793589	+		UTEX RefSeq GFF3		direct seqid
M744_RS04140	cds_segment	RefSeq_location	NZ_CP006471.1:793643-795424:+	NZ_CP006471.1	793643	795424	+		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04140	current_locus_tag	RefSeq_locus_tag	M744_RS04140	NZ_CP006471.1	793643	795424	+		UTEX RefSeq GFF3		direct annotation
M744_RS04140	genomic_location	RefSeq_location	NZ_CP006471.1:793643-795424:+	NZ_CP006471.1	793643	795424	+		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04140	old_locus_tag	legacy_locus_tag	M744_04290	NZ_CP006471.1	793643	795424	+		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04140	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2394	NZ_CP006471.1	793643	795424	+		PCC 7942 and UTEX RefSeq GFF3	WP_011244021.1	exact shared RefSeq protein_id
M744_RS04140	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12165	NZ_CP006471.1	793643	795424	+		PCC 7942 and UTEX RefSeq GFF3	WP_011244021.1	exact shared RefSeq protein_id
M744_RS04140	protein_id	RefSeq_protein	WP_011244021.1	NZ_CP006471.1	793643	795424	+		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04140	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	793643	795424	+		UTEX RefSeq GFF3		direct seqid
M744_RS04145	cds_segment	RefSeq_location	NZ_CP006471.1:795345-796790:-	NZ_CP006471.1	795345	796790	-		UTEX RefSeq GFF3	segment 1	normalized GFF3 CDS coordinates
M744_RS04145	current_locus_tag	RefSeq_locus_tag	M744_RS04145	NZ_CP006471.1	795345	796790	-		UTEX RefSeq GFF3		direct annotation
M744_RS04145	gene_symbol	gene_symbol	gltX	NZ_CP006471.1	795345	796790	-		UTEX RefSeq GFF3		direct gene qualifier
M744_RS04145	genomic_location	RefSeq_location	NZ_CP006471.1:795345-796790:-	NZ_CP006471.1	795345	796790	-		UTEX RefSeq GFF3		direct GFF3 coordinates
M744_RS04145	old_locus_tag	legacy_locus_tag	M744_04295	NZ_CP006471.1	795345	796790	-		UTEX RefSeq GFF3		direct old_locus_tag qualifier
M744_RS04145	pcc7942_old_locus_tag	PCC7942_legacy_locus_tag	Synpcc7942_2393	NZ_CP006471.1	795345	796790	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244022.1	exact shared RefSeq protein_id
M744_RS04145	pcc7942_ortholog	PCC7942_RefSeq_locus_tag	SYNPCC7942_RS12160	NZ_CP006471.1	795345	796790	-		PCC 7942 and UTEX RefSeq GFF3	WP_011244022.1	exact shared RefSeq protein_id
M744_RS04145	protein_id	RefSeq_protein	WP_011244022.1	NZ_CP006471.1	795345	796790	-		UTEX RefSeq GFF3		direct protein_id qualifier
M744_RS04145	sequence_accession	RefSeq_nucleotide	NZ_CP006471.1	NZ_CP006471.1	795345	796790	-		UTEX RefSeq GFF3		direct seqid
