locus_tag	gene_symbol	protein_id	protein_id_locus_count	refseq_protein_record	computed_cds_translation	refseq_protein_sequence	protein_length_aa	protein_sequence_sha256	identity_ambiguity	experimentally_detected	characterized_homolog	tested_variant_evidence	tested_variant_growth_condition
M744_RS04105		WP_011244014.1	1	present	exact	exact	163	8e7db712e3e312ba1f757f98a1cdc714ca72d06bce68b24ee869133bfd3be864	none	unknown	unknown	unknown	unknown
M744_RS04110		WP_011378446.1	1	present	exact	exact	385	7e3ea0e23fccf45e955fe07eb7bf58f1fe2e0a5b6eeb33ad36d1c6c23d3fd251	none	unknown	unknown	unknown	unknown
M744_RS04115		WP_011378445.1	1	present	exact	exact	392	2b9935435edcd08c22c58bf1075b44cf435c6946fba730f29b4bff84e6dc0adc	none	unknown	unknown	unknown	unknown
M744_RS04120	ruvX	WP_011378444.1	1	present	exact	exact	149	757167de43df7c0778d98a9b1aa7098fefbe453ef1f7ecf99108d6f3850f59e9	none	unknown	unknown	unknown	unknown
M744_RS04125		WP_011244018.1	1	present	exact	exact	175	e92acfe4a808078ce8b7fe2d82c3d889fe48e2569277af47397c89f5dbbf3f4a	none	unknown	unknown	unknown	unknown
M744_RS04130		WP_011244019.1	1	present	exact	exact	183	0da68f6e9cecccd17564e9781b0f53b9de8ae82339bf78a45ceceb3a8e127f6d	none	unknown	unknown	unknown	unknown
M744_RS04135		WP_011244020.1	1	present	exact	exact	83	80316a7785b9fd2150454834b393d3ea544ea70cbde2b1790b3619b19195af65	none	unknown	unknown	unknown	unknown
M744_RS04140		WP_011244021.1	1	present	exact	exact	593	0603247fe685b5c37aea489df9cca778fe23b7a5120497650a341eb242c5f40e	none	unknown	unknown	unknown	unknown
M744_RS04145	gltX	WP_011244022.1	1	present	exact	exact	481	0fcd547db9dce3a393e42f04d6299c2fa8055813e3ff441dad496b51a7164b8b	none	unknown	unknown	unknown	unknown
M744_RS04150		WP_011378443.1	1	present	exact	exact	486	01055cb06cf819abf72bed16eacd807780569036c81aaabb4f8c4cc51b6cce24	none	unknown	unknown	unknown	unknown
M744_RS04155		WP_011378442.1	1	present	exact	exact	206	ca1e1cc513532b7c883f39450a5f58995c75ebcf22c5c1f4f10ca93f4ecce36e	none	unknown	unknown	unknown	unknown
M744_RS04160		WP_039755558.1	1	present	exact	exact	1218	afa39e50b3a735f1cc7211b68c9e7ae9b1b98d22b5786cbe99b168162aba287e	none	unknown	unknown	unknown	unknown
M744_RS04165		WP_231621379.1	1	present	exact	exact	258	47b35dd6bba7c5bfe847ad60e8f53b4e12ef887df15b2733c969393815c3be13	none	unknown	unknown	unknown	unknown
M744_RS04170		WP_011244027.1	1	present	exact	exact	389	f32dd3653f3fabf9d110ee6f7142b725e3fe904dcea31dcb961f7181cd8d8b71	none	unknown	unknown	unknown	unknown
M744_RS04175		WP_231621380.1	1	present	exact	exact	681	762b744bae56e540e9eb3d0b05e71c6751057797011ef859714ae30b3dcc724e	none	unknown	unknown	unknown	unknown
M744_RS04180	hypD	WP_011378438.1	1	present	exact	exact	367	d2dd4eb08ab35fdc3e241de7181c10762b470bbc5bf8a808ce6a0424fbae8315	none	unknown	unknown	unknown	unknown
M744_RS04185		WP_011244030.1	1	present	exact	exact	340	0e464dff2c3ab170f9737220f1e07e67ca8f2fc3277005af80171c8f7895b553	none	unknown	unknown	unknown	unknown
M744_RS04190	nifJ	WP_011378437.1	1	present	exact	exact	1196	33831ee2e5cdb12bb57547ddc3a44ac794e2f2a259a05f2d50a384856493d250	none	unknown	unknown	unknown	unknown
M744_RS04195		WP_190528512.1	1	present	exact	exact	359	f9cf9487c5f530030cf6d2cf2ac7063ee79c757c251c9d06de3aa25794efcf1d	none	unknown	unknown	unknown	unknown
M744_RS04200	hemW	WP_011244033.1	1	present	exact	exact	396	e2a286c830c998f37e537331462bdf17725c990b9600b01ec5181ed45555415b	none	unknown	unknown	unknown	unknown
M744_RS04205	panB	WP_011244034.1	1	present	exact	exact	268	b03f5e9497c77dcd6ee9ca88b4259f04b4f30fa05655135f46a33e3c55fc82fc	none	unknown	unknown	unknown	unknown
M744_RS04210		WP_011244035.1	1	present	exact	exact	142	93a401863fc4391b606e36a1c93ec90ca2e7a33b6d612969d33fa388fee32d91	none	unknown	unknown	unknown	unknown
M744_RS04215	thiD	WP_011378435.1	1	present	exact	exact	263	cb46f33a5f583ef72de0f88d87dee76b5e36addd42b094a559ae2789a9b17e03	none	unknown	unknown	unknown	unknown
M744_RS04220	ftsZ	WP_011244037.1	1	present	exact	exact	393	5931bbce72e81cb981474650627bae4b2f1468b9e359264c9f745b443b5088b1	none	unknown	unknown	unknown	unknown
M744_RS04225		WP_011378434.1	1	present	exact	exact	282	55accfbd240bcde26053965d3d69c58818db652d4c042794d854e05685fc63dd	none	unknown	unknown	unknown	unknown
M744_RS04230		WP_011244039.1	1	present	exact	exact	136	1df4054a3de69026d78068fde0efbe0b8a2e92ecfe5a225b944bc6c4b6aaaa91	none	unknown	unknown	unknown	unknown
M744_RS04235		WP_011244040.1	1	present	exact	exact	347	948c9509c86879c2e5d9dff4a13b255e56af58322464afe56b7f4fa5680cefea	none	unknown	unknown	unknown	unknown
M744_RS04240	miaB	WP_011244041.1	1	present	exact	exact	452	cc7a808121a38b19cba535022d7289c6d1be3c05db1c0d9304ef178a427ad4f4	none	unknown	unknown	unknown	unknown
M744_RS04245		WP_011244042.1	1	present	exact	exact	344	e16f8d73dbe94664c8ef4c1dd00f82748f86332e69e0629c29cf10c97ca6496d	none	unknown	unknown	unknown	unknown
M744_RS04250		WP_011378433.1	1	present	exact	exact	349	d5b21142ea44ef7c3ad13fc40b29904fffa929f636d56e506814d1e6c7341876	none	unknown	unknown	unknown	unknown
M744_RS04255	lpxA	WP_011244044.1	1	present	exact	exact	264	776e9bdfc17a53abafb3eb433d0aee9cec57ea1fc5fb2abb73ad968e90c0c84b	none	unknown	unknown	unknown	unknown
M744_RS04260		WP_011378432.1	1	present	exact	exact	69	665488d2d5116807be9dc4a20bc01766ad6b1922ece406b22b3f927925554baa	none	unknown	unknown	unknown	unknown
M744_RS04265		WP_011378431.1	1	present	exact	exact	1056	35614500de0aae2e9a86a1aa72786a90d66d0c28367cd8cabc0f198ed6e13484	none	unknown	unknown	unknown	unknown
M744_RS04270		WP_011244046.1	1	present	exact	exact	376	83f87aac767ae424e1580d442b1d49e6189a6693f8caa9ac1c7ff43f6d59a912	none	unknown	unknown	unknown	unknown
M744_RS04280		WP_011378430.1	1	present	exact	exact	167	c420959b3992f965f3e6f32971b9a6f4d4e3db58ee605dd551906a4858f699e0	none	unknown	unknown	unknown	unknown
M744_RS04285		WP_011378429.1	1	present	exact	exact	92	0fd93a3939bdd9e6cf59902bd84d6ad2814f9246c320fe251e1909eac374f9dd	none	unknown	unknown	unknown	unknown
M744_RS04290	prfC	WP_011378428.1	1	present	exact	exact	556	58c867edc698f338a40b41f568bbb9a2a8d2a336e1412d60391d77c21e33c46e	none	unknown	unknown	unknown	unknown
M744_RS04295		WP_011244049.1	1	present	exact	exact	201	2ab1fb431059e4fa551bf43122f959c8ea2c8cb424122c6372c8173cf93fce07	none	unknown	unknown	unknown	unknown
M744_RS04300		WP_011244050.1	1	present	exact	exact	141	5b24a8da3eaf6cd7a48712682f3da1d30e28ad50566728ad7a5f71e92d92a224	none	unknown	unknown	unknown	unknown
M744_RS04305	sds	WP_011378426.1	1	present	exact	exact	323	5c9d2b54097d4f96cda2600494cef7b3ae92e8e535a7a126009ec65f26c1ef04	none	unknown	unknown	unknown	unknown
M744_RS04310	murI	WP_407830092.1	1	present	exact	exact	282	b753bc628b7d0986ecc4273c8e543b226ab70de33ae6e127056f8e2194d6a210	none	unknown	unknown	unknown	unknown
M744_RS04315		WP_011378425.1	1	present	exact	exact	344	3a4716cfe0e07cb1f8dde1139ad4b304d10192d6e8d74e372a69e33eb43a0a4d	none	unknown	unknown	unknown	unknown
M744_RS04320		WP_011378424.1	1	present	exact	exact	460	9dbf2fd93249d623c517b66df37f9e96526ea6eb8cc16deba1618af84a899386	none	unknown	unknown	unknown	unknown
M744_RS04325		WP_011244055.1	1	present	exact	exact	276	f63229f5bfd7c7c870f559b265e8fd64c30caa1d7984f9aa728df02bad61125a	none	unknown	unknown	unknown	unknown
M744_RS04330		WP_231621381.1	1	present	exact	exact	475	8bf51b3436220c7823570fd9bd497d6fe1a79359f0a70d8239abc918fa35e27a	none	unknown	unknown	unknown	unknown
M744_RS04335		WP_011378422.1	1	present	exact	exact	208	59fb2db4520c21def191e70a6d2aaeff818915c73861994f83e20da2cd9fee12	none	unknown	unknown	unknown	unknown
M744_RS04340		WP_011244058.1	1	present	exact	exact	107	795631d5188f52b6ecc9f6d1ed144002bc3a8dde7af3285077f9bc7d46abf6d9	none	unknown	unknown	unknown	unknown
M744_RS04345		WP_011244059.1	1	present	exact	exact	174	2fd16cb0215ac912caf4d7e90ebafd725500ab3b56966f6cfe74bfabdf9834b8	none	unknown	unknown	unknown	unknown
M744_RS04350	lipB	WP_011244060.1	1	present	exact	exact	233	5a93ca96bcaf5e3ea9c02a8ebbe1a9e3b695236da0b513b60cf82e0abf5cbb27	none	unknown	unknown	unknown	unknown
M744_RS04355	hpf	WP_011378421.1	1	present	exact	exact	207	31ec4c31181e137dde1e5bc48f880257403f39ce4acefdb08d73e018ce8313e4	none	unknown	unknown	unknown	unknown
M744_RS04360	larC	WP_011378420.1	1	present	exact	exact	402	f2d30d546023f64c648f1187b57ecd4788d6bd2634e87c07b9b93b6dd8598908	none	unknown	unknown	unknown	unknown
M744_RS04365		WP_011244063.1	1	present	exact	exact	233	0b098e9a4e61b03cd0f920f00c7a328413293e333ad0600eae6ac7d04d1f2ea3	none	unknown	unknown	unknown	unknown
M744_RS04370		WP_011244064.1	1	present	exact	exact	397	82224e966a16b57d052e0bfa7df60075c7b8050840354ef49db516056a807c5d	none	unknown	unknown	unknown	unknown
M744_RS04375	queA	WP_011378419.1	1	present	exact	exact	359	cc83feaa26b4d72848e37ba3cb4fd3e7af8832b16232baaf945850dd17228f7f	none	unknown	unknown	unknown	unknown
M744_RS04380		WP_011244066.1	1	present	exact	exact	374	c95d255c500f5e01d35961c5ea0bae05517aa48014c3f1be51219066b0724353	none	unknown	unknown	unknown	unknown
M744_RS04385		WP_011244067.1	1	present	exact	exact	266	d0e59d858e4bf858b7b1d27fa154e3ec20f992474e6c9e6258c27df1f20ca808	none	unknown	unknown	unknown	unknown
M744_RS04390		WP_011244068.1	1	present	exact	exact	112	903b60beee1371880ffec22119a0e5d38419aab96093753f4688f383fe040333	none	unknown	unknown	unknown	unknown
M744_RS04395		WP_011378416.1	1	present	exact	exact	316	16a643a1e626a580ad31817e1788ab8e02494176bc993bc7834950bb13b956d0	none	unknown	unknown	unknown	unknown
M744_RS04400		WP_011244070.1	1	present	exact	exact	38	b499e0a08919e22e4f8f4822d0dc70b1b61536c29fdc5323d53ceb6a3dac5914	none	unknown	unknown	unknown	unknown
M744_RS04405		WP_011378415.1	1	present	exact	exact	166	63f8d0984538ce666fcd1dfa3ca730f70f3a81baaf5001bcfc0d6634c632cad0	none	unknown	unknown	unknown	unknown
M744_RS04410		WP_011378414.1	1	present	exact	exact	293	a006baaa4b1ed8c5fa3d384caac764c52f3ed80ec9572f733906af2e4eaf70cc	none	unknown	unknown	unknown	unknown
M744_RS04415	der	WP_011244073.1	1	present	exact	exact	453	218cf45768a96768d773ba66e23ef315c4d1bedaeef909390f4c11f54542eee4	none	unknown	unknown	unknown	unknown
M744_RS04420		WP_011378413.1	1	present	exact	exact	344	c49405bfc62332962362ad22d5bd0a743b2bbc5df7b6c67f59e01cc021e144d0	none	unknown	unknown	unknown	unknown
M744_RS04425		WP_011378412.1	1	present	exact	exact	305	b9251cf5cc66523afc1f9e1d9af55140d2b403536bc6c96442e23c0ed6b4912e	none	unknown	unknown	unknown	unknown
M744_RS04430		WP_011378411.1	1	present	exact	exact	317	8c5aae7c16ecf97b7da12eb9582aa56cf7bef008990f628e6845bbef164beca5	none	unknown	unknown	unknown	unknown
M744_RS04435	fbp	WP_011378409.1	1	present	exact	exact	344	0c32219b69bc359c0252e81a1db82f0025a8cf51feb360745df74eddac0cfc66	none	unknown	unknown	unknown	unknown
M744_RS04440	zwf	WP_011244078.1	1	present	exact	exact	511	ffe0fc5320144e81b0ad88b7cba9863a04ef6a98df36b5fa10036e3c362dcfcc	none	unknown	unknown	unknown	unknown
M744_RS04445	opcA	WP_011244079.1	1	present	exact	exact	445	17c088ef7a3e42ebaa4888888eaa4fc163bbd468a1e91bb2f605e865be9496e8	none	unknown	unknown	unknown	unknown
M744_RS04450	petD	WP_011244080.1	1	present	exact	exact	160	a62e368a83bf4a0057538ed6e07190cb96527cf2809a24d6d9c2e1bb96f77e9b	none	unknown	unknown	unknown	unknown
M744_RS04455	petB	WP_011244081.1	1	present	exact	exact	215	109effcd2e1703e36f29cb6c03136623cc8651c78244afbdf5f43dcb6c47de1e	none	unknown	unknown	unknown	unknown
M744_RS04460	ctpA	WP_011378408.1	1	present	exact	exact	407	e26e5f7285fd79015487bae835ee1614d63b647c50ee136d431cd4a34562f24d	none	unknown	unknown	unknown	unknown
M744_RS04465		WP_011378407.1	1	present	exact	exact	424	18b572aa979b680e1e478b4b900292672ddba8162df337c5e580a0646762696d	none	unknown	unknown	unknown	unknown
M744_RS04470		WP_011244084.1	1	present	exact	exact	363	1e6c16cff7e05707a232d42d5c0db3b59a325f52481d710cbf835f00784f4f99	none	unknown	unknown	unknown	unknown
M744_RS04475		WP_011244085.1	1	present	exact	exact	157	c76785ece765ff7ebc7d8a230d67d32ce85ddb3074b6c1b4d7b8e055e57cd8f6	none	unknown	unknown	unknown	unknown
M744_RS04480		WP_011244086.1	1	present	exact	exact	250	d8b3302b1cb3ddee3915b9592dd840b7a7dc1c617d31f8e98817c267e5effeb9	none	unknown	unknown	unknown	unknown
M744_RS04485		WP_011244087.1	1	present	exact	exact	225	4e5566ca70f477a60b9ec476b9d1a36c61be4b9b5e8945762efcd092038d9250	none	unknown	unknown	unknown	unknown
M744_RS04490	gshB	WP_011244088.1	1	present	exact	exact	323	9821bb08969acb33ba25c000b507740dab0c8a667b214277e41c7b12c9af086d	none	unknown	unknown	unknown	unknown
M744_RS04495	grxC	WP_011244089.1	1	present	exact	exact	87	c21df6fd5596b79a6366796060d212dafe7533ff4784ce9d9f4ecd16b2273cc2	none	unknown	unknown	unknown	unknown
M744_RS04500	gatC	WP_011378405.1	1	present	exact	exact	96	78e97fc213d0c3623b165230cd5e1ce8cffe8dc6cf94229fa31771639deacaac	none	unknown	unknown	unknown	unknown
M744_RS04505		WP_011244091.1	1	present	exact	exact	173	5916c20770bcd43f10b21a0904fa2f9f2c0b0ebe4c66a8e8093c8af21d0b9da3	none	unknown	unknown	unknown	unknown
M744_RS04510		WP_011244092.1	1	present	exact	exact	95	ea3d4aafad29e8f42241e9f4f6e0a8fedee9247560db028f0913a2c6746571f2	none	unknown	unknown	unknown	unknown
M744_RS04515		WP_011244093.1	1	present	exact	exact	72	4d1ee4f3fc545a915dcb5d7c3e7adbf7042032e106598bf15de4e1ca5ff5b4ce	none	unknown	unknown	unknown	unknown
M744_RS04520		WP_011244094.1	1	present	exact	exact	208	ddfae2a4492d2ecbe464a73dbf9561ced2b52f1c8a2a13fab13937e87a52aa26	none	unknown	unknown	unknown	unknown
M744_RS04525		WP_011378404.1	1	present	exact	exact	790	c1efe5fa6d4c8f840f4994f2d035990a702e728f32cfae19c5e1c796aee990d9	none	unknown	unknown	unknown	unknown
M744_RS04530	atpC	WP_011244096.1	1	present	exact	exact	137	513e7bcd76844a503431d81665d22249db8afd078c2e41b7479eb368bb1a5c78	none	unknown	unknown	unknown	unknown
M744_RS04535	atpD	WP_011244097.1	1	present	exact	exact	484	10d7b15bc1b6107ef9cd5d1d67136f8a909b254f87696b2f49f108bb4fefe8ff	none	unknown	unknown	unknown	unknown
M744_RS04540	groES	WP_011244098.1	1	present	exact	exact	103	b5f0ddff5635da6867a8e3ea33c555c841931e595e8781f69fa4dae5e2d7d6cb	none	unknown	unknown	unknown	unknown
M744_RS04545	groL	WP_011244099.1	1	present	exact	exact	544	747ab1a93c7d63b7085bee7ca41e82726865418ca7291e51b8f2065a55450a75	none	unknown	unknown	unknown	unknown
M744_RS04550	murG	WP_011378403.1	1	present	exact	exact	357	f1bb8cc907b3d93de4b708b2ea501a767854ee52260148bc1bb874bee8ccff64	none	unknown	unknown	unknown	unknown
M744_RS04555		WP_011378402.1	1	present	exact	exact	259	f6884e5830e0e4e8335bc371d6d80dccc72c9b1d29812570255cf247d3c02cf1	none	unknown	unknown	unknown	unknown
M744_RS04565		WP_011378401.1	1	present	exact	exact	489	fe266e5a0d1ca0ee06e0213d2ba3129141aaefdded256f381972269d887c14a1	none	unknown	unknown	unknown	unknown
M744_RS04570		WP_011378400.1	1	present	exact	exact	198	d85d6069af86e5893d624e239a5525890696fded46a356f867ab04a51affad24	none	unknown	unknown	unknown	unknown
M744_RS04575	gcvT	WP_011244104.1	1	present	exact	exact	372	2a896b075dd429c8b2ce409c317003f4234b5ee09468d468f745578846c9b250	none	unknown	unknown	unknown	unknown
M744_RS04580		WP_011244105.1	1	present	exact	exact	336	f3ffddae6099e23bc9e123ada8b781f3d050edf8b57103bfbbb4b299210395b3	none	unknown	unknown	unknown	unknown
M744_RS04585		WP_155813915.1	1	present	exact	exact	192	8c3fececd23a11dc89694d2a83cef55c8b8ec74ea9d951a5a0191c9285f42faa	none	unknown	unknown	unknown	unknown
M744_RS04590	nblR	WP_011244106.1	1	present	exact	exact	228	b593bc8b8c0506045ef7ea3b60ecd3bc4c68319ad397049f1e6302602ed7da7d	none	unknown	unknown	unknown	unknown
M744_RS04595		WP_011244107.1	1	present	exact	exact	305	0b577fa3026df8869485831a3b4017dab73dd58ce564a899a191915fb55b877c	none	unknown	unknown	ungerer2018-ppnK-utex2973-allele	Growth phenotyping only: BG11 at 38 C, 900 micromol photons m^-2 s^-1 and 5% CO2 after 24 h bioreactor adaptation. AtpA and PpnK activity measurements used separate in-vitro assays.
M744_RS04600	folP	WP_011378397.1	1	present	exact	exact	278	15db9ae6638645823a6a680fab6443a12e37dc8281ce76c601834db14b21ebdf	none	unknown	unknown	unknown	unknown
M744_RS04605		WP_011244109.1	1	present	exact	exact	118	45a59eec1e8ad8c846b9bc2d202bfda70814cfc505096f934c298943f71359b5	none	unknown	unknown	unknown	unknown
M744_RS04610		WP_011378396.1	1	present	exact	exact	90	cb488ad5048cd8c34b2c2d8d7ff15a57cd41fd04c7b698a145e08e65afdbf532	none	unknown	unknown	unknown	unknown
M744_RS04615		WP_011244110.1	1	present	exact	exact	164	fef00a92b1020383596dd19e5b260d6e2802a765e9c9973e75d3196d12ff49f1	none	unknown	unknown	unknown	unknown
M744_RS04620	rpsO	WP_011244111.1	1	present	exact	exact	89	553c00b9865d627ea5f94c77d5f200e3d385b053f12b3ef09a040c24e7dc4626	none	unknown	unknown	unknown	unknown
M744_RS04625	ruvA	WP_011244112.1	1	present	exact	exact	207	12301a213a8e79b0064fcbff8e9ba18cbb5f618693137bc4e3696440d1e7a84b	none	unknown	unknown	unknown	unknown
M744_RS04630		WP_011378395.1	1	present	exact	exact	397	00ac361b583ffc60b689c59263dc08fb00b31ce3f3977a4a0f6a5d023363e394	none	unknown	unknown	unknown	unknown
M744_RS04635	glnT	WP_011378394.1	1	present	exact	exact	434	9859a49271de8dc652e2425b93a134763a63283d0e2c303e74cbaac4f56edd6c	none	unknown	unknown	unknown	unknown
M744_RS04640		WP_011378393.1	1	present	exact	exact	367	bd97ae1412cdf8802bd0de66b859d349530c0f7c36314b6b5ac1fd0a5af9280a	none	unknown	unknown	unknown	unknown
M744_RS04645		WP_011378392.1	1	present	exact	exact	278	77429e54f3214df9dcb148717ef6f1121c0b1876802cf3ca561bcad5e8fc67dd	none	unknown	unknown	unknown	unknown
M744_RS04650		WP_011244117.1	1	present	exact	exact	149	fa9af0f6696630bd9d7703945360cb58d25dfd140fb2998e284886490ecedd16	none	unknown	unknown	unknown	unknown
M744_RS04655		WP_011378391.1	1	present	exact	exact	754	52f13521111ed30417f496c060b9d9c8e8a08a3ef3a4732cc998817a600ddac7	none	unknown	unknown	unknown	unknown
M744_RS04660		WP_011244119.1	1	present	exact	exact	323	484c39d81ff152a22cb8b2334b24099c8b65639d25842d9c7e3783fb0e003dd8	none	unknown	unknown	unknown	unknown
M744_RS04665	kdsB	WP_011244120.1	1	present	exact	exact	244	d942f5cf9b8f1a32122bd6efc431597e5a4da03f069f4568bd373054d90c8358	none	unknown	unknown	unknown	unknown
M744_RS04670	kdsA	WP_011378390.1	1	present	exact	exact	284	75cf7e7f1adce3a25412a50ba9d497531e28854a6f3a1be5e24d14d5be3baf3f	none	unknown	unknown	unknown	unknown
M744_RS04675		WP_011244122.1	1	present	exact	exact	178	37265331d55077fccb32e968b9d218843780ca1b0806453bd84b670396229035	none	unknown	unknown	unknown	unknown
M744_RS04680		WP_011244123.1	1	present	exact	exact	324	99b763d99884377342520fbbd695ece289b931994a714ffea0de0fe1e3ec4339	none	unknown	unknown	unknown	unknown
M744_RS04685		WP_199290547.1	1	present	exact	exact	350	d379b5e8dbbd08c6f144d0aea7a61901a5952254668fc9da47319c69e5f1aca2	none	unknown	unknown	unknown	unknown
M744_RS04690		WP_199290546.1	1	present	exact	exact	375	166015670863f7d7633fd93ddf72000bee22479a1c4dc8211a44c67dae2c2e0e	none	unknown	unknown	unknown	unknown
M744_RS04695		WP_011378388.1	1	present	exact	exact	303	eb753da8cab6b6650f88d8583538bb0ebb4ca4e6c339fb5014b4bf8a9aa3f69a	none	unknown	unknown	unknown	unknown
M744_RS04700		WP_011378387.1	1	present	exact	exact	247	73d201faa710409a5930ad93f6f1ac529d5eaf221195f10c95119dcb5fd9337f	none	unknown	unknown	unknown	unknown
M744_RS04705		WP_011378386.1	1	present	exact	exact	637	b80da6f94753cccaeb7bf400585182ba50deb85571f3be37a85af4a161657ce3	none	unknown	unknown	unknown	unknown
M744_RS04710		WP_231621383.1	1	present	exact	exact	272	af3754c81bbc3a069923ece1e8cbec17547f6fbf587e04cac2f46ebbf96070eb	none	unknown	unknown	unknown	unknown
M744_RS04715		WP_011244130.1	1	present	exact	exact	310	371b195140a5a7c03298fb089d70fc3f34991779c8fd759c03d9fbf0c3b65c93	none	unknown	unknown	unknown	unknown
M744_RS04720		WP_011378385.1	1	present	exact	exact	470	bb5dd27433e04e52b6bd0c01df74d8ce4f680b1d4899c5b9e590b5b048210ec2	none	unknown	unknown	unknown	unknown
M744_RS04725		WP_011244132.1	1	present	exact	exact	715	eee8b8747d9495c9be7cede45cc11d1a829384cec3291fd361a74845c0d54cec	none	unknown	unknown	unknown	unknown
M744_RS04730		WP_041674898.1	1	present	exact	exact	109	1e6cb145e7d1a84fcb2bfac12fd5ef9b625ed0e65f3f6a158528f9f368c6e060	none	unknown	unknown	unknown	unknown
M744_RS04735		WP_011244134.1	1	present	exact	exact	150	6e73b76461a00993cf57078158c60c365491e770b383a44b8371012896636b72	none	unknown	unknown	unknown	unknown
M744_RS04750	bchD	WP_011244135.1	1	present	exact	exact	677	35491d23054b7ff57c4b44729bafbd89a351845d46ffafb459bf034bb2ad68e0	none	unknown	unknown	unknown	unknown
M744_RS04755		WP_011244136.1	1	present	exact	exact	255	ecb5345c976915a11aaf4059b622c797a3931a8c2a3f09464ceb52b17703ca8b	none	unknown	unknown	unknown	unknown
M744_RS04760	folK	WP_011244137.1	1	present	exact	exact	176	098838af760b1833d6584da014fabe710fbf727fbe13c45703195f0ddda02842	none	unknown	unknown	unknown	unknown
M744_RS04765		WP_011244138.1	1	present	exact	exact	183	0e622ffb9176fd5c9cc0b7225a74b26110eeb9602a72aedc55bc6be6d469b3b6	none	unknown	unknown	unknown	unknown
M744_RS04770		WP_011244139.1	1	present	exact	exact	344	e10a751b0a3d61a4a53b4999615a6ff39d8fe9d75ed74983fee2d52a91f22cd9	none	unknown	unknown	unknown	unknown
M744_RS04775		WP_011244140.1	1	present	exact	exact	245	d1dd45d8ead7c8d8be3eeb82dd68e43484124a641c3ce09cd5bf9b02a04e8e62	none	unknown	unknown	unknown	unknown
M744_RS04780	cobT	WP_011244141.1	1	present	exact	exact	381	76cc5594302a3cdd9271c29b0c5b424231db7c77efbf3e1be0742ee1f1fba266	none	unknown	unknown	unknown	unknown
M744_RS04785		WP_011378383.1	1	present	exact	exact	85	71382375db8f50845cabbecefa3d4f4faaac91bd47e8a8e9e21cc36d4ebdc78c	none	unknown	unknown	unknown	unknown
M744_RS04790		WP_011378382.1	1	present	exact	exact	354	f0ef5f4fea572bf4ae86e46b27f20d4544752c110b525fae191e42d45205ebbd	none	unknown	unknown	unknown	unknown
M744_RS04795		WP_011244143.1	1	present	exact	exact	431	add43efb40f3c718048144e6d56be531b02da4179ce3e139441f4a1a2940c4f2	none	unknown	unknown	unknown	unknown
M744_RS04800	pedR	WP_011244144.1	1	present	exact	exact	91	dcb2a0567203b11ee3b601ace32371a508e9fe95c0dd5ae70e17d40446aee6e6	none	unknown	unknown	unknown	unknown
M744_RS04805	hisS	WP_011378381.1	1	present	exact	exact	435	2faf6ea713428a968c6da7557b27814b868875c4fa9528b406068b791c512d32	none	unknown	unknown	unknown	unknown
M744_RS04810		WP_011378380.1	1	present	exact	exact	469	0e6477bdbf9ed5d9cfe0e487a78e15cbddff31148fa655722d4f6e1ab2f1b7f1	none	unknown	unknown	unknown	unknown
M744_RS04815	cutA	WP_011244147.1	1	present	exact	exact	113	c8b6f3b1bcfbab34b42676cffdf866290f5d40dc1526210efa17ba3592566ce7	none	unknown	unknown	unknown	unknown
M744_RS04820		WP_011244148.1	1	present	exact	exact	121	ff0a8dbd92e357ae94d0b4bc9dd880a9b696c39c1460bc7a6cc13686345d0ecc	none	unknown	unknown	unknown	unknown
M744_RS04830		WP_011244150.1	1	present	exact	exact	427	1a31e5d98875fa32258e9ec51aca18c50a5b2c18412a4e4aa7c507f0cded90f2	none	unknown	unknown	unknown	unknown
M744_RS04835		WP_231621384.1	1	present	exact	exact	159	3938e46942f174e55f27bfc53152b37f09928d76300fc1fe750ae2b0e7106044	none	unknown	unknown	unknown	unknown
M744_RS04840		WP_011244153.1	1	present	exact	exact	134	c11289f097167a5413d5996e2cdc8121382b8be4044d09bc4d596539f7748ab3	none	unknown	unknown	unknown	unknown
M744_RS04845		WP_011378377.1	1	present	exact	exact	452	697b7cf1a8fadf5f4c7a872436b1f62a68dd70d29e2391f838da365da4992dda	none	unknown	unknown	unknown	unknown
M744_RS04850	gshA	WP_039755919.1	1	present	exact	exact	378	43977ae82addeca47dc35d8979f1c8b79049998d1555f3c18effd9d4e7b17203	none	unknown	unknown	unknown	unknown
M744_RS04855	ppc	WP_039755577.1	1	present	exact	exact	1007	be181a912ac98346a109e3c8ff23839b9a416509c931b8f0f985e08e3757c106	none	unknown	unknown	unknown	unknown
M744_RS04870	recF	WP_011378373.1	1	present	exact	exact	387	e3018da14b6c81e64dc7bd1c7703ed55bd3a593790c036d28bba065cc86eff13	none	unknown	unknown	unknown	unknown
M744_RS04875		WP_039755580.1	1	present	exact	exact	60	b84a6d219d2b3f1b6065abb4bd96c73f9fb40946e4950e2221a349c62c093b83	none	unknown	unknown	unknown	unknown
M744_RS04880	speD	WP_011378372.1	1	present	exact	exact	141	fe72e8facc0ef404d770f1084596134e5d53180c7511c3497029a1a6640a1781	none	unknown	unknown	unknown	unknown
M744_RS04885		WP_011244160.1	1	present	exact	exact	91	2e8b5792113fff3669749f78f63e18f1024d537592a2f32000814ae6a4ed08e2	none	unknown	unknown	unknown	unknown
